epoch,phase,loss,top1,top5,lr,imgs_per_sec
-1,val,21.640125,14.2857,71.4286,0.002204,
0,train,2.055440,15.7143,71.4286,0.002867,17
0,val,1.969646,14.2857,71.4286,0.002867,
1,train,2.052366,20.0000,70.0000,0.004823,602
1,val,1.948261,15.7143,71.4286,0.004823,
2,train,2.044065,14.2857,65.7143,0.007974,605
2,val,1.950459,20.0000,67.1429,0.007974,
3,train,1.969670,17.1429,75.7143,0.012162,533
3,val,1.947176,10.0000,71.4286,0.012162,
4,train,1.972223,7.1429,81.4286,0.017177,662
4,val,2.245037,20.0000,71.4286,0.017177,
5,train,2.198742,22.8571,81.4286,0.022767,647
5,val,13.659759,14.2857,71.4286,0.022767,
6,train,3.286379,24.2857,71.4286,0.028652,647
6,val,13.976153,18.5714,71.4286,0.028652,
7,train,4.844051,14.2857,77.1429,0.034537,631
7,val,122.298233,14.2857,71.4286,0.034537,
8,train,3.951775,20.0000,75.7143,0.040127,569
8,val,1185.008789,14.2857,71.4286,0.040127,
9,train,4.809946,24.2857,90.0000,0.045142,576
9,val,8812.198242,14.2857,71.4286,0.045142,
10,train,4.264973,28.5714,90.0000,0.049330,582
10,val,nan,14.2857,71.4286,0.049330,
11,train,3.659635,28.5714,84.2857,0.052481,653
11,val,nan,14.2857,71.4286,0.052481,
12,train,2.841922,24.2857,88.5714,0.054437,608
12,val,nan,14.2857,71.4286,0.054437,
13,train,3.082820,32.8571,84.2857,0.055100,637
13,val,nan,14.2857,71.4286,0.055100,
14,train,2.961991,27.1429,77.1429,0.054989,588
14,val,nan,14.2857,71.4286,0.054989,
15,train,2.582347,21.4286,81.4286,0.054657,615
15,val,nan,14.2857,71.4286,0.054657,
16,train,2.138423,40.0000,85.7143,0.054107,612
16,val,7311.727051,14.2857,71.4286,0.054107,
17,train,1.901800,31.4286,88.5714,0.053343,626
17,val,3620.687744,14.2857,71.4286,0.053343,
18,train,2.594220,20.0000,82.8571,0.052372,617
18,val,3435.404541,14.2857,71.4286,0.052372,
19,train,2.382118,24.2857,85.7143,0.051200,609
19,val,3296.287109,14.2857,71.4286,0.051200,
20,train,2.753409,50.0000,85.7143,0.049838,631
20,val,nan,14.2857,71.4286,0.049838,
21,train,3.185813,34.2857,78.5714,0.048297,633
21,val,nan,14.2857,71.4286,0.048297,
22,train,3.020184,37.1429,81.4286,0.046589,637
22,val,nan,14.2857,71.4286,0.046589,
23,train,2.786374,35.7143,85.7143,0.044727,646
23,val,nan,15.7143,71.4286,0.044727,
24,train,2.647346,42.8571,87.1429,0.042727,650
24,val,2799.445801,14.2857,71.4286,0.042727,
25,train,2.370138,40.0000,92.8571,0.040605,592
25,val,649.878235,15.7143,72.8571,0.040605,
26,train,2.083534,51.4286,98.5714,0.038378,611
26,val,219.179779,20.0000,72.8571,0.038378,
27,train,2.034592,44.2857,97.1429,0.036063,626
27,val,87.096733,21.4286,74.2857,0.036063,
28,train,2.422385,35.7143,97.1429,0.033681,595
28,val,79.658356,14.2857,78.5714,0.033681,
29,train,2.011747,38.5714,97.1429,0.031248,612
29,val,1247.946045,15.7143,82.8571,0.031248,
30,train,2.768137,27.1429,98.5714,0.028786,629
30,val,inf,17.1429,80.0000,0.028786,
31,train,1.725124,47.1429,97.1429,0.026314,576
31,val,inf,27.1429,75.7143,0.026314,
32,train,1.937680,47.1429,95.7143,0.023852,574
32,val,875.160522,25.7143,75.7143,0.023852,
33,train,1.849030,47.1429,98.5714,0.021420,619
33,val,567.745972,25.7143,77.1429,0.021420,
34,train,1.781302,58.5714,98.5714,0.019037,585
34,val,362.489807,27.1429,81.4286,0.019037,
35,train,1.845141,54.2857,98.5714,0.016722,601
35,val,215.197784,27.1429,82.8571,0.016722,
36,train,1.994228,45.7143,95.7143,0.014495,595
36,val,106.621269,28.5714,82.8571,0.014495,
37,train,1.681279,55.7143,100.0000,0.012373,625
37,val,47.075016,30.0000,87.1429,0.012373,
38,train,1.721484,54.2857,98.5714,0.010373,650
38,val,22.743820,30.0000,87.1429,0.010373,
39,train,1.716554,48.5714,100.0000,0.008511,616
39,val,12.061651,25.7143,88.5714,0.008511,
40,train,1.698034,50.0000,100.0000,0.006803,621
40,val,9.529176,22.8571,88.5714,0.006803,
41,train,1.610222,55.7143,98.5714,0.005262,661
41,val,6.399483,21.4286,92.8571,0.005262,
42,train,1.726633,52.8571,98.5714,0.003900,637
42,val,4.887923,28.5714,95.7143,0.003900,
43,train,1.671367,60.0000,98.5714,0.002729,625
43,val,3.911071,31.4286,95.7143,0.002729,
44,train,1.553165,54.2857,100.0000,0.001757,588
44,val,3.460479,32.8571,95.7143,0.001757,
45,train,1.535482,58.5714,98.5714,0.000993,624
45,val,3.158990,31.4286,95.7143,0.000993,
46,train,1.604662,57.1429,98.5714,0.000443,568
46,val,3.037769,32.8571,95.7143,0.000443,
47,train,1.586159,51.4286,98.5714,0.000111,649
47,val,2.836267,34.2857,95.7143,0.000111,
48,train,1.594085,52.8571,98.5714,0.000000,574
48,val,2.695435,34.2857,95.7143,0.000000,
49,train,1.679124,54.2857,97.1429,0.000111,559
49,val,2.593235,34.2857,95.7143,0.000111,
-1,val,21.640598,14.2857,71.4286,0.002204,
0,train,2.053220,18.5714,71.4286,0.002867,19
0,val,1.964961,14.2857,71.4286,0.002867,
1,train,2.054439,18.5714,71.4286,0.004823,576
1,val,1.948398,15.7143,71.4286,0.004823,
2,train,2.121633,10.0000,64.2857,0.007974,603
2,val,1.950538,18.5714,67.1429,0.007974,
3,train,1.941117,21.4286,78.5714,0.012162,567
3,val,1.952551,14.2857,71.4286,0.012162,
4,train,1.998036,14.2857,80.0000,0.017177,599
4,val,2.343999,14.2857,71.4286,0.017177,
5,train,3.285857,11.4286,68.5714,0.022767,625
5,val,7.144766,14.2857,70.0000,0.022767,
