epoch,phase,loss,top1,top5,lr,imgs_per_sec
-1,val,41.140252,0.1000,0.5000,0.005000,
0,train,5.968157,4.7438,13.4723,0.005146,810
0,val,5.498916,8.6060,22.2700,0.005146,
1,train,4.904754,15.6586,34.7683,0.005584,811
1,val,4.554119,20.7480,43.1880,0.005584,
2,train,4.333630,24.7654,47.8365,0.006311,810
2,val,4.024206,29.6760,55.1420,0.006311,
3,train,3.965296,31.5296,55.9507,0.007324,810
3,val,3.789060,34.5140,60.0360,0.007324,
4,train,3.716403,36.3739,61.3014,0.008618,810
4,val,3.456604,40.7980,66.6820,0.008618,
5,train,3.537928,40.0312,64.9509,0.010187,809
5,val,3.314903,43.4120,69.6460,0.010187,
6,train,3.400918,42.8700,67.7382,0.012023,810
6,val,3.167038,46.8020,72.7280,0.012023,
7,train,3.298391,44.9756,69.7399,0.014117,811
7,val,3.075133,48.6200,74.3040,0.014117,
8,train,3.217861,46.7083,71.2845,0.016459,810
8,val,3.040111,49.0960,75.1280,0.016459,
9,train,3.156027,47.9779,72.4941,0.019037,811
9,val,2.950433,51.5840,76.8780,0.019037,
10,train,3.106753,49.0500,73.3942,0.021840,810
10,val,2.920157,51.8900,77.1380,0.021840,
11,train,3.068927,49.8381,74.0764,0.024852,810
11,val,2.909758,52.0880,77.5060,0.024852,
12,train,3.039430,50.4393,74.6473,0.028061,810
12,val,2.852609,53.5500,78.5780,0.028061,
13,train,3.017270,50.8848,75.0360,0.031449,810
13,val,2.812371,54.3240,79.2760,0.031449,
14,train,2.994560,51.3604,75.3937,0.035000,810
14,val,2.892975,52.2400,77.8100,0.035000,
15,train,2.981342,51.6028,75.6902,0.038698,810
15,val,2.787533,54.8320,79.7840,0.038698,
16,train,2.969975,51.8514,75.8348,0.042524,810
16,val,2.754146,55.5420,80.3740,0.042524,
17,train,2.954039,52.2010,76.1305,0.046459,811
17,val,2.820167,54.0760,79.1960,0.046459,
-1,val,2.820167,54.0760,79.1960,0.046459,
18,train,2.943468,52.3890,76.3187,0.050485,810
18,val,2.837748,53.4900,78.7980,0.050485,
19,train,2.933039,52.6141,76.5057,0.054581,811
19,val,2.882915,52.6040,77.9600,0.054581,
20,train,2.925195,52.7727,76.6070,0.058729,811
20,val,2.771375,55.0180,80.1660,0.058729,
21,train,2.920303,52.8923,76.7249,0.062906,811
21,val,2.769541,55.1860,80.0280,0.062906,
22,train,2.915227,53.0726,76.8213,0.067094,811
22,val,2.736060,55.8940,80.5200,0.067094,
23,train,2.909562,53.1562,76.8979,0.071272,811
23,val,2.790743,54.9680,79.5880,0.071272,
24,train,2.909545,53.1502,76.9166,0.075419,811
24,val,2.731633,56.1980,80.7020,0.075419,
25,train,2.904931,53.1860,77.0395,0.079516,811
25,val,2.937297,51.5440,76.8660,0.079516,
26,train,2.900049,53.3489,77.1050,0.083541,811
26,val,2.820122,53.9620,79.1860,0.083541,
27,train,2.897407,53.3785,77.1152,0.087477,811
27,val,2.744953,55.6600,80.5220,0.087477,
28,train,2.895089,53.4109,77.1348,0.091303,811
28,val,2.764836,55.4000,80.2640,0.091303,
29,train,2.892610,53.4396,77.2211,0.095000,811
29,val,2.817111,53.9100,79.1280,0.095000,
30,train,2.890941,53.4797,77.2222,0.098552,811
30,val,2.766289,55.3820,80.1160,0.098552,
31,train,2.888112,53.6019,77.3079,0.101940,811
31,val,2.784846,54.6660,79.8480,0.101940,
32,train,2.887605,53.5504,77.3137,0.105148,811
32,val,2.749709,55.2380,80.3520,0.105148,
33,train,2.884965,53.6382,77.3154,0.108161,811
33,val,2.737228,55.7380,80.6340,0.108161,
34,train,2.880830,53.7383,77.4084,0.110963,811
34,val,2.778924,54.5540,79.8580,0.110963,
35,train,2.883823,53.6268,77.4086,0.113541,811
35,val,2.688405,56.8780,81.6440,0.113541,
36,train,2.877485,53.8226,77.4878,0.115883,811
36,val,2.836474,53.5180,78.9320,0.115883,
37,train,2.877276,53.8175,77.4566,0.117977,811
37,val,2.782737,54.9220,79.7080,0.117977,
38,train,2.875410,53.8546,77.5274,0.119813,811
38,val,2.692796,56.8500,81.4780,0.119813,
39,train,2.871707,53.8848,77.5940,0.121382,811
39,val,2.734600,55.7300,80.7900,0.121382,
-1,val,2.734600,55.7300,80.7900,0.121382,
40,train,2.867935,53.9987,77.5919,0.122676,810
40,val,2.807882,54.3020,79.2000,0.122676,
41,train,2.868368,53.9685,77.6555,0.123689,811
41,val,2.705954,56.4460,80.9940,0.123689,
42,train,2.865959,54.0920,77.6494,0.124416,811
42,val,2.786994,54.6820,79.7960,0.124416,
43,train,2.864135,54.0567,77.6928,0.124854,811
43,val,2.823461,53.7300,78.9640,0.124854,
44,train,2.860317,54.1531,77.7749,0.125000,811
44,val,2.718593,56.1700,81.1240,0.125000,
45,train,2.858773,54.2538,77.7776,0.124972,811
45,val,2.978570,50.7860,76.0500,0.124972,
46,train,2.855045,54.3035,77.8513,0.124888,811
46,val,2.793866,54.4840,79.4300,0.124888,
47,train,2.853437,54.3033,77.8923,0.124748,811
47,val,2.710378,56.2280,81.3720,0.124748,
48,train,2.847914,54.4439,78.0224,0.124553,811
48,val,2.765971,55.4320,79.8560,0.124553,
49,train,2.848273,54.4015,77.9582,0.124302,811
49,val,2.719739,56.3500,80.8760,0.124302,
50,train,2.846224,54.5062,77.9987,0.123996,811
50,val,2.738238,55.7940,80.6820,0.123996,
51,train,2.844526,54.5855,78.0119,0.123634,811
51,val,2.669315,57.3780,81.7980,0.123634,
52,train,2.839580,54.6390,78.1069,0.123218,811
52,val,2.704033,56.6840,81.1140,0.123218,
53,train,2.838095,54.7015,78.1470,0.122748,811
53,val,2.709288,56.7240,80.9980,0.122748,
54,train,2.832556,54.7936,78.2638,0.122223,811
54,val,2.689457,57.0040,81.3240,0.122223,
55,train,2.833183,54.7584,78.2206,0.121645,811
55,val,2.714056,56.2200,80.9960,0.121645,
56,train,2.831012,54.8034,78.2590,0.121015,811
56,val,2.673946,57.4860,81.6500,0.121015,
