epoch,phase,loss,top1,top5,lr,imgs_per_sec
0,val,42.954105,0.1000,0.5120,0.00050000,782.17
0,train,6.244087,2.8633,8.8253,0.00063112,381.94
0,val,5.578446,7.2280,19.8660,0.00063112,790.93
1,train,5.351932,10.1145,24.9251,0.00101873,386.60
1,val,4.775428,16.9220,37.5880,0.00101873,472.46
2,train,4.755554,18.2028,38.4166,0.00164591,389.60
2,val,4.237463,25.7920,49.9500,0.00164591,653.46
3,train,4.288457,25.8364,48.9380,0.00248523,386.39
3,val,3.842180,33.1360,58.8080,0.00248523,695.76
4,train,3.935812,32.1675,56.6577,0.00350002,386.09
4,val,3.542659,38.6720,65.1640,0.00350002,625.97
5,train,3.686348,37.0771,62.0032,0.00464592,383.91
5,val,3.295076,44.2940,70.5800,0.00464592,562.49
6,train,3.501432,40.8115,65.7789,0.00587286,386.46
6,val,3.184081,46.6720,72.8020,0.00587286,1058.83
7,train,3.371378,43.5321,68.3320,0.00712720,386.14
7,val,3.017628,50.4040,75.5540,0.00712720,656.97
8,train,3.271439,45.6614,70.2821,0.00835414,386.77
8,val,2.963431,51.4720,76.9660,0.00835414,1064.51
9,train,3.191617,47.3729,71.8368,0.00950004,389.52
9,val,2.897419,52.6940,77.9600,0.00950004,688.78
10,train,3.129288,48.7079,72.9856,0.01051482,390.14
10,val,2.807470,54.7280,79.4860,0.01051482,697.65
11,train,3.076642,49.8164,73.9268,0.01135413,389.87
11,val,2.768282,55.8600,80.2620,0.01135413,1012.36
12,train,3.034933,50.7327,74.7276,0.01198129,387.07
12,val,2.703675,57.1800,81.1940,0.01198129,1125.84
13,train,2.995333,51.5709,75.4720,0.01236890,390.08
13,val,2.717411,56.3720,81.0300,0.01236890,685.26
14,train,2.963336,52.2832,76.0371,0.01250000,393.56
14,val,2.724089,56.1920,80.7880,0.01250000,675.07
15,train,2.931945,52.9487,76.6004,0.01249831,389.99
15,val,2.623417,58.9760,82.8480,0.01249831,477.91
16,train,2.905627,53.5191,77.0300,0.01249323,390.11
16,val,2.646007,58.3280,81.9540,0.01249323,686.39
17,train,2.883462,54.0080,77.4097,0.01248477,393.56
17,val,2.604163,59.4420,83.1580,0.01248477,700.23
18,train,2.861498,54.5282,77.7940,0.01247294,393.49
18,val,2.582356,59.5140,83.2580,0.01247294,715.93
19,train,2.840666,54.9574,78.1911,0.01245774,390.24
19,val,2.567622,60.3680,83.9140,0.01245774,1121.33
20,train,2.820970,55.4062,78.4720,0.01243917,390.14
20,val,2.516188,61.2700,84.5620,0.01243917,634.18
21,train,2.803514,55.7896,78.7721,0.01241726,389.86
21,val,2.550665,60.5200,83.9060,0.01241726,498.90
22,train,2.791166,56.1008,78.9980,0.01239200,393.74
22,val,2.501764,61.8920,84.9480,0.01239200,678.37
23,train,2.777649,56.3768,79.2143,0.01236342,386.86
23,val,2.485040,62.0780,84.7640,0.01236342,1080.68
24,train,2.763874,56.6897,79.4157,0.01233153,388.01
24,val,2.491262,61.9220,84.8580,0.01233153,551.06
25,train,2.752397,56.9009,79.6416,0.01229634,386.82
25,val,2.481284,61.8960,85.0520,0.01229634,631.05
26,train,2.742311,57.1472,79.8239,0.01225788,389.17
26,val,2.469205,62.4460,85.1440,0.01225788,667.75
27,train,2.731086,57.4179,79.9804,0.01221617,382.90
27,val,2.428398,63.2360,85.8260,0.01221617,1061.36
28,train,2.720696,57.6476,80.1685,0.01217123,380.88
28,val,2.428814,63.7160,85.7540,0.01217123,637.95
29,train,2.712424,57.8304,80.2663,0.01212308,387.80
29,val,2.441377,63.1000,85.5960,0.01212308,1047.45
