epoch,phase,loss,top1,top5,lr,imgs_per_sec
0,val,59.824625,0.1020,0.5353,0.00018400,152.10
0,train,6.926421,0.3310,1.2002,0.00019610,314.40
0,val,6.953775,0.0765,0.8922,0.00019610,927.70
1,train,6.876195,0.4231,1.4765,0.00023226,390.29
1,val,6.910322,0.0765,1.0961,0.00023226,903.23
2,train,6.861612,0.4144,1.5916,0.00029208,391.28
2,val,6.907611,0.1275,1.0961,0.00029208,943.59
3,train,6.851343,0.4950,1.7269,0.00037491,390.06
3,val,6.921097,0.2294,1.3255,0.00037491,937.48
4,train,6.837723,0.6102,2.0204,0.00047985,391.32
4,val,6.889545,0.3824,1.4275,0.00047985,941.89
5,train,6.808668,0.6620,2.2939,0.00060574,391.72
5,val,6.858310,0.5353,1.7843,0.00060574,938.85
6,train,6.759691,0.8318,2.7141,0.00075120,391.55
6,val,6.801238,0.5863,2.0647,0.00075120,941.45
7,train,6.695760,0.9411,3.1976,0.00091464,391.42
7,val,6.776653,0.5863,2.8040,0.00091464,944.36
8,train,6.634925,1.1225,3.7415,0.00109427,391.77
8,val,6.694755,0.6118,3.0079,0.00109427,936.73
9,train,6.570238,1.2376,4.2596,0.00128812,391.70
9,val,6.636019,0.8922,3.9001,0.00128812,940.73
10,train,6.502608,1.3700,4.8755,0.00149407,391.84
10,val,6.572148,1.3255,4.3589,0.00149407,943.50
11,train,6.424301,1.7873,5.8167,0.00170985,391.20
11,val,6.506382,1.3510,5.0726,0.00170985,946.34
12,train,6.359473,1.9398,6.2196,0.00193311,391.96
12,val,6.437176,1.3510,5.6844,0.00193311,953.22
13,train,6.271609,2.3198,7.5320,0.00216140,391.70
13,val,6.390931,1.8608,6.4491,0.00216140,944.08
14,train,6.198170,2.6623,8.2314,0.00239221,391.88
14,val,6.293554,2.4216,7.9531,0.00239221,940.83
15,train,6.136235,2.9587,9.3970,0.00262302,391.39
15,val,6.241403,2.8804,8.5904,0.00262302,946.80
16,train,6.069905,3.3156,10.2432,0.00285131,391.39
16,val,6.228939,2.9059,9.2531,0.00285131,944.84
17,train,6.000948,3.8193,11.4923,0.00307455,392.04
17,val,6.264364,2.8040,8.6668,0.00307455,958.76
18,train,5.950793,4.0294,12.1859,0.00329032,392.22
