epoch,phase,loss,top1,top5,lr,imgs_per_sec
0,val,40.890662,0.0765,0.4079,0.00040000,159.47
0,train,6.938354,0.2274,0.9786,0.00042630,318.40
0,val,6.942630,0.1275,0.7647,0.00042630,936.95
1,train,6.889082,0.4461,1.3988,0.00050490,392.28
1,val,6.913155,0.2549,1.2490,0.00050490,934.42
2,train,6.867417,0.4749,1.6722,0.00063496,392.12
2,val,6.893349,0.5353,1.7334,0.00063496,937.14
3,train,6.830493,0.6562,2.1154,0.00081503,392.47
3,val,6.858789,0.6118,2.1667,0.00081503,943.71
4,train,6.750911,0.8203,2.7342,0.00104316,391.75
4,val,6.815503,0.5353,2.6510,0.00104316,934.00
5,train,6.673529,0.9239,3.3041,0.00131683,392.05
5,val,6.731305,0.7137,2.6001,0.00131683,936.99
6,train,6.604338,1.1599,3.9776,0.00163305,392.06
6,val,6.662879,0.9686,3.2628,0.00163305,930.20
7,train,6.537071,1.3642,4.6338,0.00198836,392.35
7,val,6.580840,1.2490,3.7726,0.00198836,932.07
8,train,6.446612,1.5513,5.4483,0.00237886,391.90
8,val,6.470762,1.7589,5.9138,0.00237886,937.34
9,train,6.345673,2.0204,6.5304,0.00280027,392.16
9,val,6.517103,1.8608,5.7864,0.00280027,926.52
10,train,6.242374,2.3198,7.5666,0.00324797,392.07
10,val,6.285579,2.3706,7.2903,0.00324797,933.50
11,train,6.144996,2.8666,9.0574,0.00371707,391.89
11,val,6.240062,2.5236,8.8708,0.00371707,941.10
12,train,6.059941,3.2177,10.2115,0.00420242,391.77
12,val,6.158035,3.0844,9.2531,0.00420242,933.53
13,train,5.978878,3.6034,11.4750,0.00469869,392.31
13,val,6.180822,2.8550,9.6100,0.00469869,936.30
14,train,5.898301,4.2452,12.6954,0.00520046,392.30
14,val,6.013019,3.8746,11.6747,0.00520046,935.98
15,train,5.825334,4.6827,13.9905,0.00570223,392.14
15,val,6.034755,3.6197,11.2414,0.00570223,936.86
16,train,5.747950,5.2324,15.3605,0.00619849,392.36
16,val,5.912286,4.8177,13.5865,0.00619849,929.97
17,train,5.674229,5.6728,16.5952,0.00668381,391.72
17,val,5.877730,4.9962,13.4846,0.00668381,935.35
18,train,5.588764,6.7434,18.7969,0.00715287,392.16
18,val,5.760786,5.2001,16.3650,0.00715287,935.41
19,train,5.523152,7.2644,19.9338,0.00760053,392.33
19,val,5.771657,5.3021,16.4415,0.00760053,930.96
20,train,5.461027,7.7680,21.0390,0.00802189,391.88
20,val,5.796717,5.9138,16.5690,0.00802189,937.29
21,train,5.394603,8.4818,22.3658,0.00841233,391.74
21,val,5.742750,5.6589,17.5121,0.00841233,940.26
22,train,5.322158,9.0027,23.9574,0.00876757,391.63
22,val,5.808583,6.6021,18.6592,0.00876757,942.84
23,train,5.258985,9.8748,25.4396,0.00908372,392.19
23,val,5.634838,7.0354,19.8318,0.00908372,935.28
24,train,5.194410,10.3238,26.5017,0.00935731,392.38
24,val,5.680766,7.4433,20.8004,0.00935731,933.59
25,train,5.129797,11.2448,28.2688,0.00958534,391.24
25,val,5.590832,7.3923,20.2906,0.00958534,941.76
26,train,5.060129,12.3413,29.5323,0.00976533,392.10
26,val,5.691644,8.1060,21.1573,0.00976533,937.29
27,train,4.989660,12.9083,31.4520,0.00989529,392.30
27,val,5.567860,8.8708,23.0181,0.00989529,938.08
28,train,4.939863,13.9301,32.8853,0.00997380,392.58
28,val,5.820557,7.8256,19.2455,0.00997380,931.35
29,train,4.861029,14.6611,34.1833,0.01000000,391.83
29,val,5.553844,9.1002,24.4711,0.01000000,940.51
30,train,4.795104,15.7318,35.6368,0.00999495,391.91
30,val,5.502412,9.9159,24.4711,0.00999495,954.48
31,train,4.723014,16.6729,37.6399,0.00997983,391.76
31,val,5.419614,10.2473,26.9437,0.00997983,930.32
32,train,4.675228,17.5997,38.6933,0.00995469,391.82
32,val,5.610385,9.7374,25.5162,0.00995469,935.44
33,train,4.586974,18.7365,40.9670,0.00991957,391.72
33,val,5.682555,10.1708,24.9554,0.00991957,942.81
34,train,4.545970,19.4762,42.0953,0.00987455,391.82
34,val,5.507125,10.5277,26.2299,0.00987455,939.87
35,train,4.470527,20.9008,43.9401,0.00981971,392.58
35,val,5.457188,11.1394,26.9946,0.00981971,936.49
36,train,4.405019,21.9658,45.5691,0.00975516,392.06
36,val,5.654606,9.9924,25.9240,0.00975516,937.63
37,train,4.343055,22.9242,46.8298,0.00968103,391.87
37,val,5.455117,11.8022,28.7280,0.00968103,936.42
38,train,4.292423,23.7387,47.8026,0.00959748,392.43
38,val,5.374766,12.3375,29.1104,0.00959748,931.58
39,train,4.225272,25.1662,49.5841,0.00950467,392.04
39,val,5.384066,12.7453,30.1045,0.00950467,933.07
40,train,4.157085,26.0872,51.5153,0.00940278,391.85
40,val,5.475653,12.2865,29.9516,0.00940278,936.15
41,train,4.117581,26.8960,52.3413,0.00929203,391.79
41,val,5.330433,13.0512,31.8889,0.00929203,948.18
42,train,4.046802,28.4501,54.3071,0.00917264,392.54
42,val,5.374290,12.6689,29.9771,0.00917264,930.22
43,train,3.971378,30.0014,56.0915,0.00904485,392.31
43,val,5.430858,12.5159,29.7986,0.00904485,929.90
44,train,3.907615,31.1901,57.4442,0.00890890,392.42
44,val,5.372958,13.0512,31.2006,0.00890890,938.84
45,train,3.835042,32.5140,59.0819,0.00876509,391.71
45,val,5.431553,13.3571,31.0477,0.00876509,940.08
46,train,3.793224,33.6682,60.5468,0.00861369,392.04
46,val,5.494587,13.3316,30.9202,0.00861369,944.68
47,train,3.732757,35.3778,61.7413,0.00845502,392.33
47,val,5.447254,13.2807,30.9967,0.00845502,936.30
48,train,3.683474,36.2441,63.1141,0.00828939,392.17
48,val,5.404275,13.9179,32.2457,0.00828939,926.61
49,train,3.645496,36.8168,63.7329,0.00811713,391.87
49,val,5.369968,14.0454,33.1379,0.00811713,929.57
50,train,3.576476,38.8056,65.2497,0.00793860,392.55
50,val,5.494869,14.1728,31.9398,0.00793860,949.59
51,train,3.495671,40.6792,67.6011,0.00775415,392.62
51,val,5.350518,14.6572,33.8007,0.00775415,937.19
52,train,3.456329,41.4362,68.3177,0.00756415,391.81
52,val,5.526309,14.6572,33.6987,0.00756415,943.12
53,train,3.393895,42.8148,69.7597,0.00736899,392.12
53,val,5.313458,15.2434,34.2085,0.00736899,933.44
54,train,3.331339,44.5273,71.0692,0.00716906,392.07
54,val,5.446090,14.3768,33.0869,0.00716906,938.48
55,train,3.294751,45.5922,71.8549,0.00696476,392.18
55,val,5.456047,14.5042,33.7242,0.00696476,930.44
56,train,3.223354,47.5148,73.6797,0.00675650,391.65
56,val,5.682637,14.1218,32.0418,0.00675650,935.64
57,train,3.169901,48.9250,74.6179,0.00654471,392.38
57,val,5.420165,14.6826,33.5458,0.00654471,932.18
58,train,3.111827,50.4878,76.1836,0.00632980,392.31
58,val,5.574967,15.0650,32.6281,0.00632980,936.47
59,train,3.050693,52.1917,77.1622,0.00611222,392.14
59,val,5.648009,15.2179,33.8771,0.00611222,931.03
60,train,3.016111,53.0494,77.7637,0.00589239,392.31
60,val,5.410373,15.5748,34.5399,0.00589239,930.24
61,train,2.934298,55.2281,79.3668,0.00567077,392.19
61,val,5.457336,15.8042,35.2791,0.00567077,940.50
62,train,2.880900,56.8571,80.7339,0.00544780,391.77
62,val,5.565540,14.7846,33.9536,0.00544780,937.64
63,train,2.831592,58.4746,81.4506,0.00522393,392.31
63,val,5.587597,15.8042,34.6928,0.00522393,938.58
64,train,2.783982,59.5769,82.4924,0.00499961,391.91
64,val,5.462519,16.1866,35.8399,0.00499961,933.10
65,train,2.742252,60.6965,83.1976,0.00477528,392.07
65,val,5.449172,15.6003,35.4576,0.00477528,931.38
66,train,2.704147,62.2536,83.7905,0.00455141,392.16
66,val,5.556794,15.4219,35.3301,0.00455141,938.55
67,train,2.649465,63.9027,84.7575,0.00432845,392.52
67,val,5.577450,15.7023,34.6164,0.00432845,922.07
68,train,2.604405,65.3936,85.3130,0.00410683,392.41
68,val,5.439604,16.2886,34.8713,0.00410683,933.47
69,train,2.542299,66.9938,86.3347,0.00388702,392.48
69,val,5.483611,16.9258,35.5085,0.00388702,932.21
70,train,2.497187,68.7092,87.2557,0.00366944,392.39
70,val,5.406425,16.8748,35.9419,0.00366944,938.36
71,train,2.451774,69.9381,87.6759,0.00345455,392.40
71,val,5.421305,16.3650,35.8399,0.00345455,935.95
72,train,2.418439,70.7987,88.4098,0.00324277,392.28
72,val,5.548204,16.0336,35.6360,0.00324277,946.87
73,train,2.359984,73.0177,88.8502,0.00303452,392.05
73,val,5.438186,16.6454,36.1458,0.00303452,936.42
74,train,2.325379,73.6653,89.6992,0.00283024,392.55
74,val,5.437364,16.9258,36.5027,0.00283024,936.59
75,train,2.291059,74.7043,90.1079,0.00263032,392.29
75,val,5.562553,16.5944,35.8654,0.00263032,942.37
76,train,2.275444,75.5476,90.2461,0.00243518,392.14
76,val,5.502093,17.1297,36.9615,0.00243518,928.74
77,train,2.223978,76.8226,90.7354,0.00224520,392.46
77,val,5.407920,17.6905,37.0125,0.00224520,949.95
78,train,2.200766,77.6284,91.2477,0.00206077,392.49
78,val,5.554963,16.5180,36.5027,0.00206077,936.78
79,train,2.172064,78.4199,91.4837,0.00188226,392.20
79,val,5.487246,17.2062,36.5282,0.00188226,938.95
80,train,2.103883,80.3828,92.4047,0.00171003,392.32
80,val,5.457979,17.0533,36.7576,0.00171003,929.51
81,train,2.078391,80.9642,92.7558,0.00154442,392.35
81,val,5.458259,17.6141,37.1399,0.00154442,941.71
82,train,2.066869,81.4074,92.7558,0.00138577,392.49
82,val,5.369817,18.1749,37.1399,0.00138577,930.70
83,train,2.053774,81.5801,92.8767,0.00123441,391.84
83,val,5.349203,17.7670,36.9360,0.00123441,929.64
84,train,2.017636,82.7515,93.2336,0.00109062,392.51
84,val,5.310249,18.5062,37.8537,0.00109062,928.53
85,train,1.998711,83.4307,93.3113,0.00095471,392.48
85,val,5.308565,18.2004,37.3949,0.00095471,937.26
86,train,1.969207,84.1358,93.7545,0.00082694,392.05
86,val,5.308694,18.3278,38.1851,0.00082694,931.41
87,train,1.929674,85.3965,94.1229,0.00070758,392.17
87,val,5.312417,18.2513,37.0125,0.00070758,944.00
88,train,1.910591,85.7102,94.4136,0.00059686,392.33
88,val,5.380989,18.2768,38.1086,0.00059686,935.55
89,train,1.906340,85.6066,94.4078,0.00049501,392.53
89,val,5.313575,18.7102,37.4203,0.00049501,933.51
90,train,1.900329,86.0210,94.3186,0.00040224,391.62
90,val,5.369148,18.5572,37.7772,0.00040224,930.84
91,train,1.872506,86.5535,94.5690,0.00031872,392.10
91,val,5.266060,18.4808,37.3949,0.00031872,940.11
92,train,1.851210,86.9535,94.9921,0.00024463,392.14
92,val,5.382437,18.3278,37.3439,0.00024463,930.49
93,train,1.838400,87.4917,95.0439,0.00018012,392.15
93,val,5.284806,18.5827,38.0576,0.00018012,932.49
94,train,1.846047,87.3392,94.8770,0.00012531,392.48
